Frequency (Hz)	Level (dB)
1.464844	-74.793427
2.929688	-72.828201
4.394531	-70.810921
5.859375	-72.595848
7.324219	-69.795143
8.789062	-60.837822
10.253906	-64.630165
11.718750	-60.953712
13.183594	-62.397209
14.648438	-63.460594
16.113281	-56.553543
17.578125	-60.477913
19.042969	-59.392670
20.507812	-65.136406
21.972656	-63.630867
23.437500	-58.677559
24.902344	-56.968861
26.367188	-55.617615
27.832031	-55.694801
29.296875	-52.073933
30.761719	-59.545696
32.226562	-54.280571
33.691406	-58.380917
35.156250	-58.726589
36.621094	-60.333046
38.085938	-53.413116
39.550781	-61.428673
41.015625	-59.184868
42.480469	-59.894138
43.945312	-62.563057
45.410156	-80.903160
46.875000	-61.675728
48.339844	-61.524139
49.804688	-58.718319
51.269531	-64.721939
52.734375	-63.066975
54.199219	-64.446884
55.664062	-56.007473
57.128906	-61.028690
58.593750	-69.485847
60.058594	-52.376934
61.523438	-66.904358
62.988281	-58.980442
64.453125	-55.811150
65.917969	-60.725983
67.382812	-55.731354
68.847656	-57.501381
70.312500	-59.864052
71.777344	-61.595329
73.242188	-60.817577
74.707031	-72.245201
76.171875	-76.773369
77.636719	-63.548679
79.101562	-57.487415
80.566406	-63.525963
82.031250	-64.222992
83.496094	-62.277466
84.960938	-67.702957
86.425781	-63.368359
87.890625	-61.928654
89.355469	-59.900963
90.820312	-61.004292
92.285156	-62.621155
93.750000	-61.090145
95.214844	-60.661709
96.679688	-61.659927
98.144531	-73.619682
99.609375	-57.261429
101.074219	-68.420837
102.539062	-70.636917
104.003906	-62.942360
105.468750	-76.933197
106.933594	-63.365791
108.398438	-76.405960
109.863281	-67.300636
111.328125	-62.167107
112.792969	-65.075272
114.257812	-62.230930
115.722656	-53.981197
117.187500	-70.117241
118.652344	-61.734657
120.117188	-64.613365
121.582031	-64.417747
123.046875	-66.488731
124.511719	-79.622559
125.976562	-64.374268
127.441406	-74.469566
128.906250	-68.584137
130.371094	-64.467491
131.835938	-63.977455
133.300781	-74.656418
134.765625	-64.461716
136.230469	-65.651978
137.695312	-65.345856
139.160156	-78.240044
140.625000	-72.843658
142.089844	-65.215767
